用户,是否看过,评分,评论时间,有用数,评论,
shield,看过,力荐,2017/2/15 11:15,15,每个动物形象都特点鲜明,
Stark实习生,看过,推荐,2018/1/27 23:59,82,朱迪第一天工作回来跟爸妈视频那里真的太戳泪点。我们永远都是在外不想爸妈担心的孩子啊。,
Yiklui Cheung,看过,还行,2016/3/7 23:41,20,除去卖萌和各路不同物种设计的梗之外，还是套路，各种套路。一点进步都没有，技术发展与剧本本身的迂腐公式化的停滞拉扯出可怕裂痕。最让我无法忍受的还有作为人类将和平共处的意淫搬到自然界并将所谓“兽性”诟病成“进化”应抛弃的劣根，这点未免太自大。然而就这样的电影居然一致好评才是最可怕的。,
机器猫,看过,推荐,2017/12/20 20:46,77,又搞笑又有教育意义！一只兔子以自己的力量扳倒了恶势力！,
K,看过,推荐,2016/3/6 9:38,55,不得不承认这片子确实好。教父梗满赛！,
朝暮雪,看过,力荐,2016/3/7 20:52,127,“别人家的动画片”。,
九尾黑猫,看过,较差,2016/3/28 15:42,131,不是塞了很多隐喻就是好故事，放在人身上没意思的故事，换成一群外形可爱的动物依然乏味。到最后，可爱变成了刻意，“内涵”变成了说教，几处致敬也毫无新意，乏善可陈。,
邓安庆,看过,推荐,2016/3/6 15:46,64,政治正确的动物乌托邦。步子还可以迈得大一些，比如兔子跟狐狸谈恋爱，生出来狐兔。科技昌明，动物之间可以跨物种而交配，动物城从此多出了各种新型混交物种，从而引发了短时期内的混乱，伦理上的，实际管理上，城市的空间布局上，都会有好戏看呐。,
骨头,看过,推荐,2018/1/30 21:13,65,当时冒着雨去看的，还好没令我失望。很不错的啊。,
青 天大老爷,看过,力荐,2018/3/6 22:46,54,完美。适合各个年龄段,
遇见蓝蓝蓝,看过,力荐,2016/12/25 23:03,14,刷了三遍的动画，没有电影电视还是可以再拿出来看很多遍的作品，画面真的太美，还有全城毛绒绒的动物，太可爱了。最爱聪明善良机智的狐尼克。小孩子可以看动画可以学会不要种族歧视，要正直善良等道理，大人可以深思背后的深意，老少皆宜的电影。迪士尼真的很认真，很强大。,
墨语悠然,看过,力荐,2016/11/1 13:57,20,这部电影我看过两遍，一遍原版，一遍国语。个人觉得这个译制版也很不错哦~剧情顺畅连贯引人入胜，视觉效果也是棒棒哒！每个动物的性格都很鲜明，能让我找到自己或身边人的影子。我印象最深的还是朱迪和尼克，敬佩于朱迪的努力执着，沉醉于尼克的神秘善变~这样既好看又有内容的电影，一定要点赞！,
王xx,看过,力荐,2016/3/11 17:59,24,呜呜呜，是真的好看,
✿Suda✿,看过,力荐,2016/2/28 21:18,896,超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！,
yangbin,看过,力荐,2016/3/4 19:24,411,17年奥斯卡最佳动画，你好！,
尚在影,看过,推荐,2016/3/4 2:34,266,迪士尼这次太会玩，狐狸和兔子都在一起了，你还相信童话吗？故事欢快有趣，情节跌宕起伏，一会一个惊喜，还有好多大家熟悉的梗：let it go、教父、绝命毒师、碟中谍、狮子王，后面还不忘用盗版碟带回大家的回忆。最搞笑就是树懒那段，结局反转的不错，世界观价值观到位，社会意义值得认可！,
王大根,看过,推荐,2016/3/4 20:42,211,除了萌就是萌了！不过剧情简直就是一集加长版的摩登家庭，尤其是那个巨像Cam的豹子,
完达山一号,看过,推荐,2018/1/27 23:41,150,哈哈哈那是我第一次在电影院看动画片，音乐很棒～朱迪和尼克暖的，印象最深的画面当然是银行那里了哈哈哈唉,
木卫二,看过,推荐,2016/3/5 0:40,115,伸出你们的爪，摇起你们的尾巴~树懒啊水獭啊树獭啊水懒啊，就情情爱爱眼睛泪汪汪打转什么的太迪斯尼了，其他似乎都挺好的。,
Wanderer,看过,力荐,2016/3/4 6:50,318,我们也许进化了，但内心深处我们仍旧是动物。偏见，歧视，评价，用固有成见把别人框在小框框里，只是为了自己过的容易一些。那么努力地证明自己是对的，却也不想让别人给自己贴上标签。生活有点疯狂，我们经常会犯错。不管你是哪一种，改变从你开始。,
同志亦凡人中文站,看过,推荐,2016/3/25 12:33,113,动物的人格化很成功，几乎可以直接代入真人来演了。从Frozen到大白到动物城，迪斯尼动画算是找对了类型片的感觉。狐狸和兔子谈场恋爱，光想想都萌萌嗒。树懒那儿直接笑岔～～～,
世界尽头,看过,推荐,2018/1/28 9:38,111,元气满满的朱迪警官真是太萌啦，闪电太逗了！故事和画面都很好，连主题曲都这么好听，真是完美,
岛上的夏奈,看过,推荐,2016/3/29 11:43,128,为什么大家都喜欢树懒啊！最萌的明明是基佬豹子前台呀！,
