用户,是否看过,评分,评论时间,有用数,评论
行走的种子,看过,很差,2016/5/14 7:10,1798,对不起我实在是无法忍受这部电影，看了半个小时愤然离场。没看完就说有可能偏颇，看完全片的朋友可以来指正。但我完全不能理解戛纳为什么会选这样一部毫无原创性的，完成度还不如美剧行尸走肉的僵尸片，即便不是主竞赛，也不能理解。戛纳是堕落了还是怎样了？！
Hey Johnny,看过,力荐,2016/9/13 23:08,132,看了部好电影的感觉真是回味无穷，不爱电影的人简直无法理解不能沟通！——豆瓣九年，感谢依然有它提醒我保持初心。依旧没有爱人却也依旧爱电影，也没啥不好。
鸡头井。,看过,较差,2016/5/14 22:54,1983,韩国丧尸跑得好快！
张鱼妹,看过,还行,2016/9/14 0:14,368,我老公说我变丧尸了就让我咬他。然而，当棒球妹变丧尸了，他还骂棒球男傻逼还不跑ˊ_>ˋ
甜鱼拌饭酱,看过,推荐,2018/2/13 17:17,75,节奏感不错，孔侑演技到位很有魅力，比较成功的一部商业片。
恶鸟,看过,推荐,2016/9/1 22:41,91,开场的僵尸鹿就惊艳了，汉江怪物之后，又一力作，全程无尿点，成堆僵尸扑街的造型不错。感情戏演得恰到其份。中国恐怖片至今没拍到这个水平，哪怕只是节奏对，剧情无漏洞，配乐不出戏，对白不要白痴，都没做到过。
Xiao白银啊,看过,推荐,2018/2/12 22:12,71,哎呀这部丧尸片是真心好看啊 原本以为会很恐怖 不过看了觉得还好 看到了很多人们在遇到困难的时候做出的一些选择 最喜欢的应该是他们从后车厢打到前面去找亲人的时候吧 太精彩了 还有不显眼的老太太姐妹亲情线 后来爸爸为了女儿和孕妇而跳火车的那里好感动啊 演员演技都不错 赞
麻绳,看过,还行,2016/9/12 0:20,103,导演做出一副探讨人性的样子，只是想用狗血套路引几滴观众的眼泪出来。
不错我就是神,看过,推荐,2018/2/10 23:18,59,很好，看的一直很紧张。母女俩最后逃命从铁轨逃出的时候又捏了一把汗。反应了人性在危难之时各自的反应。
落苏,看过,推荐,2016/9/18 18:42,47,对于亚洲丧尸片，场面不错，放眼全球，场面小家子气了点，但还算有点内涵
莫吉多,看过,还行,2016/5/14 15:51,91,3.8 套路加套路也挺好 避免不了主题运用的小家子气以及结尾韩式抒情 第一次银幕看丧尸片都是套路还是被感动了摔！父女 夫妻 青春 老年 尽职的司机 和自私的人类 灾难片人性对比最后小情节出乎意料 可爱的人都死了。缺点也很明显整个片子编剧尽在掌握 有些硬但过得去 韩国电影越来越好
黑暗少女脱力酱,看过,还行,2016/9/12 12:08,97,真的好烦咋咋呼呼的小屁孩
赫恩曼尼,看过,力荐,2016/9/16 22:07,74,最后父亲坠车的影子，太感人。看似讲的是对抗僵尸，其实是对抗人性。韩国的丧尸片比美国的好看太多。美式丧尸太逗比，少了代入感。
嘉兴路民政局,看过,推荐,2018/2/13 0:15,60,这部剧记忆深刻，我们在宿舍晚上管了灯一起看的，很可怕但是也很感动，很喜欢那个胖大叔
看守煙霧的人,看过,推荐,2016/8/8 21:23,50,陪韓國朋友二刷我是首次看。比起想像，一點都不可怕！也確實沒《哭聲》可怕。馬東錫大叔太有型看完轉粉！！！比起殭屍類型，更關心的是其中對政府和人性的批判。比起被感染的人，那個寬臉大boss才是最可怕好嘛！化裝、視效讚！with 건오 CGV홍대입구 0808
