用户,是否看过,评分,评论时间,有用数,评论,,
小A,看过,还行,2017/1/23 20:58,69,片中护士问do you need Kleenex（卫生纸），我想起当初在实验室用Kleenex擦仪器的痛苦年代，整个人都不好了。这种典型圣丹斯小清新我快要看腻了，矛盾冲突生硬。镜头衔接甚至有些业余。音画时空错位并不会让影片更高级。又看到《月升王国》女主Kara Hayward了。音乐用得太满。,,
南笙,看过,力荐,2017/9/10 8:39,95,可以说是很符合我现在的心境了，丧就丧吧，大家都是成年人了，谁还会信“时间会治愈一切”这种自欺欺人的鬼话？时间并不会治愈伤口，逃避可耻但有用啊，将来就发现，曾经不是最丧的，因为丧的还在后头。,,
blueshadow,看过,力荐,2017/2/22 0:33,77,他的心在冻土层,,
文西,看过,还行,2016/9/3 15:28,69,除了结构也算连接的可以，故事本身实在是为了压抑而压抑，好在结尾没有落入俗套煽情。 但是周围的一群大妈们真的一直在哭泣，我觉得是不是自己太绝情了一点。,,
赫恩曼尼,看过,推荐,2017/7/24 18:37,136,不堪回看的历史带给人的痛苦，不一定彻底击垮一个人，而是让他冷漠、看似置身事外，却始终无法彻底摆脱。没人会将这个叫Lee的颓废修理工视作自己，却有多少人，曾经经历过心碎的时刻，然后隐藏起所有伤疤，一如往常地生活。我们看到的，只是他们“最正常”的样子。,,
安德烈大叔,看过,力荐,2017/2/19 17:21,59,布满裂痕的灵魂让人心疼，但我们都知道这或许才是现实中最真实、最普遍存在情绪，回避创伤、封闭部分情感是生命体验的一种常态，选择性的视而不见也难以阻止它悄无声息的浸入和沉淀在生活的细节中，然后就这样默默伴随着生活一直前行下去。,,
labarians,看过,推荐,2016/10/3 7:48,103,Small Town Drama，配乐确实有点over the top。不过Casey和小米表现真没话说，只是在今年这个政治正确的年份，一群白的不能再白的卡司，感觉没啥希望。,,
荒也,看过,推荐,2017/5/26 21:43,93,他熟练的修理完一条条下水管道，但修复不了过去的人生。堵塞的马桶成了最好讽刺。每一天的日常生活，被穿透在大量的闪回的断片里，广阔的大海是唯一救赎的场所。在转角偶遇前妻，终于得到了迟来的宽容，但墙角分明的直线，仍将两人割裂在两个世界里。没有结局的结局和只有绝望的绝望。,,
隔壁家的桃太太,看过,力荐,2017/2/14 21:32,73,跟我妈一起看的，看完我妈更爱我了。我的心机。,,
有心打扰,看过,推荐,2017/1/25 16:01,35,有些悲伤痛苦的记忆是永远无法忘却的，你只能不断抑制再抑制，把它们尘封在心里的最深处，不去触碰，而代价或许就是把自己的情感和泪水也一并封存进去。,,
思郁,看过,推荐,2017/2/9 22:36,52,带着永不释怀的原罪继续生活，又开始一点点与生活和解。不原谅自己犯下的罪，又试着去担负自己的责任。这种电影最考验演技就在于根本没有演技。,,
汽车大师,看过,力荐,2017/2/12 20:51,38,这题材看了一点不堵心感觉可以一直这么看下去，技巧很高超,,
GIVIND,看过,力荐,2017/2/4 20:59,61,这电影的风格就适合我这种废柴看，美国拍的日剧，换日本演员来演也毫无违和感。泡一杯廉价的雀巢，然后以最低耗氧量的心跳，面无表情的在屏幕前呆坐俩小时，最后结尾，忘了喝咖啡，倒掉，然后上床睡觉。this is it .,,
恶魔的步调,看过,推荐,2017/2/1 13:42,53,返乡葬礼（回家看尸体）真是个满广泛的题材，可以正剧，可以喜剧，可以讽刺。本片的闪回硬剪挺有意思，就像是正片的一个标题符号，逗号，感叹号，省略号。卡西·阿弗莱克这张脸啊，跟他兄弟本一样，天然抑郁寡欢。,,
木由,看过,力荐,2017/5/9 21:33,78,冻鸡腿恐惧，无缝对接的场景切换——哥哥为他安置沙发，和前妻的对手戏，女儿托梦，在餐桌上和侄子的摊牌。这个木讷的男人一直在骗我的眼泪，连“我想要间两居室，可以放张沙发，万一你来波士顿可以有个地方住”都成了泪点。最难过莫过于分明相爱，却今生永诀。同样的事情不敢设想在自己身上。,,
