用户,是否看过,评分,评论时间,有用数,评论,,,
西楼尘,看过,推荐,2016/12/8 22:08,41,枪炮是毒药，信仰是一剂吗啡。在逼近极限的人性抉择面前，效忠天皇的刺刀和求索上帝的圣经并无本质区别。信仰既能使一群人如蚂蟥奋不顾身，也能让一个人孤独扛起执念。地下堡垒包扎敌军士兵、战地救人安全无虞，难以置信仍深信不疑，因为我们在某一刻也相信了神迹。生活在迷雾中的人们，从未看清自己。,,,
办公室甜心,看过,还行,2016/12/15 23:35,26,所以那个淋浴 踢球 还有上天的镜头到底怎么回事 笑场很严重啊,,,
暹罗copen,看过,力荐,2016/12/9 14:20,41,满分电影，完美电影，我的年度最佳和最爱。,,,
老袁,看过,还行,2016/12/13 19:13,29,完成度很高的美国主旋律电影，如果除掉导演无节制的升格镜头，电影会上一个台阶。,,,
蜉蝣,看过,还行,2016/12/10 14:37,21,心脏不好还坐第二排数次觉得要死在影院里了。,,,
Ou,看过,较差,2016/12/11 20:18,25,Desmond不通人性，只知天命。他从钢锯岭下来后被战友拍肩膀的反应，是典型的为人性而人性。前后不怎么统一。,,,
舌在足矣,看过,推荐,2016/11/3 13:41,31,既《耶稣受难记》之后，梅尔·吉布森再次用信仰的力量震撼了观众。Rupert Gregson-Williams配乐生涯最佳作品,,,
介意,看过,较差,2017/1/19 20:30,5,拒絕安德魯·加菲爾德。,,,
琴  酒,看过,力荐,2016/12/18 21:47,16,作为反战片看是满分，展现了战争最残酷的那一面，作为个人信念的实践看也很好，“再救一个，多救一个”，那真是信仰给人的力量。但我却始终不能忘记故事发生在沖縄戦，想到战时毫无训练受迫参加战斗的沖縄人，日军的胁迫，战后的独立复归，以及替日本本土承担的美军基地。太复杂了。,,,
暴走君,看过,力荐,2016/12/10 0:28,30,战争戏太凶残了，控制不住地生理性流泪。,,,
南悠一,看过,推荐,2016/9/4 21:17,19,近一两年难得好看的战争题材商业片，战争场面拍摄的非常棒，冲突紧扣人心，除了战斗场面，故事意料之中地为主角设置了一个信仰困境，虽然不新却能令人信服。爱情戏多余，倒不如替代成战友情or甚至搅基也会更好。故事还涉及圣经以及宗教元素，略显突兀但不可或缺。货真价实抗日佳片。加菲很有戏点。,,,
西四小二,看过,还行,2016/12/11 8:07,13,爱情、喜剧、战争，三方面都有惊喜，但组合起来总觉得某个地方好像少点儿什么或者多了什么，怪怪的。不断地强调信仰，但对信仰的铺垫其实是一种直给的方式。不碰枪和不杀人其实是两回事，权利和老爹却糅合在一起，仔细想想，怪怪的感觉会更强。,,,
简里里,看过,推荐,2016/12/18 18:14,17,如果不是现实太过惊奇，就真以为导演这是在干嘛……,,,
