用户,是否看过,评分,评论时间,有用数,评论,
Lycidas,看过,推荐,2017/3/23 21:59,70,@balmes 一边领着观众误入歧途和男主一起受困于那间“密室”，一边又通过律师之口一次次强调：集中注意力，别放过细节，换角度思考。这些字句既是挑战亦是劝导，猜出反转沾沾自喜的人也许不该忘了片中人自作聪明的下场。人心的纵横沟壑幽深难测，没有什么人真比旁人高明，唯有少走夜路才能不撞到鬼。,
九尾黑猫,看过,还行,2017/3/27 22:43,79,三星半。从一个有趣的角度去解开密室杀人案，里面又嵌套了另外一个案件，是个布局精巧的迷宫。讲述中的暗示和误导，也让旁观者有参与感。但每个犯罪故事，最终令人印象深刻的是这迷雾背后的人，他们的性格、身世和故事，是什么导致的悲剧，也是这些的欠缺让结局少了力度。,
Hoja,看过,还行,2020/8/12 13:20,90,最大的悬疑点在于，评分为什么这么高🤷‍♀️,
LORENZO 洛伦佐,看过,推荐,2017/4/9 6:05,45,叙事清晰，摄影干练，西班牙被拍得好美。表演也真诚，但是故事有点老派啊，开篇让人想到《套利交易》，一样的偷情车祸。可能悬疑片看的有点多，以为会被震撼到，可还是在最后半小时猜到了结局，没有炫耀的意思，其实我只是想说，编剧为了多几次反转制造的巧合有点多了，但仍不失为一个巧思的故事。,
国王KING,看过,力荐,2017/3/24 9:58,72,继《消失的爱人》后，我最喜欢的犯罪片。一次次的反转，到最后居然是被害者母亲与凶手的对峙……,
酒鬼一家小迷妹,看过,推荐,2018/1/12 12:58,232,看到最后真觉得男孩的父母很辛苦，很坚持也很厉害。,
cherrie,看过,推荐,2017/3/20 3:13,80,密室梗，老艺人们演技都不错。唯一的问题是，从一开始我就认出来了女律师…观影感受一落千丈。,
快乐人生,看过,推荐,2018/2/27 16:38,65,可以给它添上很多标签，电影开篇直入主题，从头到尾紧张悬疑，编剧思维缜密，滴水不漏，步步陷阱，以为猜到了结局，仅仅是个开始，大结局让你目瞪口呆，完全料想不到。,
岛上的夏奈,看过,力荐,2017/4/8 12:30,189,我没有猜到结局！,
狄飞惊,看过,推荐,2017/3/28 23:55,54,猜没猜到结局不重要，关键是过程确实很抓人。这个类型曾经是我迷影的动力，现在快看不动了，但这部值得推荐。,
欢乐分裂,看过,推荐,2017/3/23 20:55,67,3.5；小格局低成本的西班牙惊悚片较少令人失望，情节抓人，剧本流畅，套路&反套路，反转&逆反转，不同视角的叙述较全景模式的罗生门更复杂，加上转述、臆想、推测，案件现场的主观镜头之迷惑性，都构成重重迷雾，直指人性黑暗面；结尾两幢大楼间的遥望好评，《怪房客》附身。,
