排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
356,30481943,光影守护者 Шырақшы,2018,叶尔梅克·图萨诺夫,,剧情,哈萨克语,哈萨克斯坦,7.5,87,16.40%,45.90%,32.80%,4.90%,0.00%,34
357,33385316,追爱之旅 Geetha Govindam,2018,Parasuram,维杰·德韦拉贡达/Rashmika Mandanna/萨伯拉杰/Mouryaani/Rahul Ramakrishna/维尼拉·基肖尔/Nagababu/Annapoorna/Giri Babu/Kalyani N./Ravi Prakash/Abhay Bethiganti/阿努·厄玛努尔/Sandhya Janak/Nithya Menon,剧情/爱情,泰卢固语,印度,7.5,79,35.60%,25.40%,23.70%,10.20%,5.10%,31
358,30384019,死无对证 Il testimone invisibile,2018,斯蒂法诺·摩尔蒂尼,里卡多·斯卡马乔/米丽娅姆·莱昂内/马丽娅·派雅托/法布里齐奥·本蒂沃利奥/萨拉·卡迪纳莱蒂/尼古拉·潘内利/塞尔吉奥·罗马诺/阿斯卡尼奥·巴尔博/葆拉·桑博/格拉多德布拉西奥/亚历山德拉·卡里略,剧情/悬疑/惊悚/犯罪,意大利语,意大利,7.4,59360,20.50%,39.10%,32.20%,4.90%,3.40%,17795
359,4058933,一个明星的诞生 A Star Is Born,2018,布莱德利·库珀,Lady Gaga/布莱德利·库珀/山姆·艾里奥特/安德鲁·戴斯·克雷/拉菲·格拉沃恩/安东尼·拉莫斯/大卫·查普尔/亚历克·鲍德温/马龙·威廉姆斯/布兰迪·卡莉/朗·瑞弗金/巴里·沙巴卡·亨利/迈克尔·D·罗伯茨/迈克尔·哈尔尼/丽贝卡·菲尔德/威廉·贝利/格雷戈·格伦伯格/D·J·尚格拉·皮尔斯/德瑞娜·德尼罗/艾迪·格里芬/哈尔希/马修·利巴提克/路奈尔·坎贝尔/唐·渥斯/伦尼·卡斯特罗/唐·罗伊·金/格雷戈里·斯卡尔尼奇/弗兰克·安妮罗/杰尔马诺·布兰科/梅根·豪恩/马克·查普曼/史蒂文·西塞罗/阿曼达·菲尔茨/阿尔弗雷德·加比杜林/弗雷德里克·基夫,剧情/爱情/音乐,英语,美国,7.4,117724,18.70%,39.10%,35.40%,5.80%,0.90%,40789
360,27098363,自杀小队：严厉惩罚 Suicide Squad: Hell to Pay,2018,刘山姆,克里斯蒂安·史莱特/凡妮莎·威廉斯/比利·布朗/克里斯汀·鲍尔/吉迪恩·埃默里/连姆·麦肯泰尔/塔拉·斯特朗/大卫·博特/特雷弗·德瓦/戴夫·芬诺伊/格雷戈·格伦伯格/C·托马斯·豪威尔/茜丝·琼斯/娜塔莉·兰德/马修·默瑟/朱莉·内桑森/吉姆·皮里/丹妮亚·拉米雷兹/詹姆斯·乌尔班尼亚克,动作/动画,英语,美国,7.4,15239,15.90%,45.60%,34.00%,3.70%,0.80%,3354
361,26877492,小森林 리틀 포레스트,2018,林顺礼,金泰梨/柳俊烈/文素丽/秦基周/国志龙/郑浚远,剧情,韩语,韩国,7.5,38773,18.60%,41.70%,34.40%,4.30%,0.90%,14892
362,27064658,致所有我曾爱过的男孩 To All the Boys I've Loved Before,2018,苏珊·约翰逊,拉娜·康多/诺亚·琴蒂内奥/伊瑟尔·布罗萨德/贾娜尔·帕里希/安娜·卡思卡特/安德鲁·巴切勒/特雷佐·马霍洛/玛德琳娜·亚瑟/埃米利娅·巴拉纳茨/约翰·考伯特/凯尔西·马韦马/朱莉娅·本森/乔伊·帕切科/乔丹·伯切特/琼·B·王尔德/伊莎贝尔·比奇/亨特·狄龙/克里斯蒂安·迈克尔·库珀/里斯·弗菜明/帕维尔·皮多克/杰布·比奇/Cameron Crosby/耶尔·雅曼,爱情,英语,美国,7.4,43602,16.60%,43.20%,35.50%,4.00%,0.60%,15414
363,27202825,最后一球 Тренер,2018,丹尼拉·科兹洛夫斯基,丹尼拉·科兹洛夫斯基/伊琳娜·戈尔巴乔娃/安德烈·斯莫利亚科夫/奥莉亚·祖娃/弗拉基米尔·伊林/维伦·巴比切夫/维克多·维尔比斯基/维塔利亚·安德烈夫,剧情/运动,俄语,俄罗斯,7.4,10395,18.00%,39.50%,37.80%,4.30%,0.30%,3373
364,30170375,真爱百分百 Tout le monde debout,2018,弗朗克·迪博斯克,弗朗克·迪博斯克/亚历山德拉·拉米/艾尔莎·泽贝斯坦/热拉尔·达尔蒙/卡洛琳·安格鲁德/洛朗·巴图/克洛德·布拉瑟/弗朗索瓦-格扎维埃·德梅松/克里斯托弗·卡纳德/弗朗西斯·科菲内/源利华/菲利普·维约,喜剧/爱情,法语 / 英语 / 意大利语,法国 / 比利时,7.4,13011,14.10%,45.70%,37.30%,2.70%,0.20%,5255
365,27055378,白小姐 미쓰백,2018,李智媛,韩智敏/金诗雅/李熙俊/权素贤/白秀章/金善映/全锡浩/李周英/赵敏俊/金俊范/郑京虎/金浩昌/刘贞莱/尹颂雅/琴东贤/李姃垠/张荣男,剧情,韩语,韩国,7.4,9963,15.70%,44.00%,36.70%,3.20%,0.50%,3543
